filename,sha256,file_size_bytes,domain,suitability_status,sequence_identity,variant_identity,parent_sequence_identity,derivation_type,source_family,width,height,frame_rate_rational,frame_rate_float,is_hfr,pixel_format,bit_depth,duration_seconds,dynamic_range_classification,is_hdr,is_wcg,selected_vmaf_model,model_compatibility,model_selection_reason,license,license_source,access_restrictions,exclusion_reason,relative_path
zebra_L4_G22 [PNG Image Sequence],N/A (Multi-file image sequence directory),365157104,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L4_G22,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,6.0,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L4_G22
zebra_L4_G27 [PNG Image Sequence],N/A (Multi-file image sequence directory),447343984,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L4_G27,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,6.2,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L4_G27
zebra_L5_G29 [PNG Image Sequence],N/A (Multi-file image sequence directory),396964735,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L5_G29,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,5.7,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L5_G29
zebra_L5_G34 [PNG Image Sequence],N/A (Multi-file image sequence directory),521583544,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L5_G34,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,6.47,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L5_G34
zebra_L6_G35 [PNG Image Sequence],N/A (Multi-file image sequence directory),377178162,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L6_G35,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,4.87,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L6_G35
zebra_L6_G39 [PNG Image Sequence],N/A (Multi-file image sequence directory),636922926,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L6_G39,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,7.4,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L6_G39
zebra_L7_G42 [PNG Image Sequence],N/A (Multi-file image sequence directory),519878621,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L7_G42,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,6.13,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L7_G42
zebra_L7_G46 [PNG Image Sequence],N/A (Multi-file image sequence directory),531921610,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L7_G46,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,5.73,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L7_G46
zebra_L8_G48 [PNG Image Sequence],N/A (Multi-file image sequence directory),464712367,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L8_G48,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,5.47,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L8_G48
zebra_L9_G48 [PNG Image Sequence],N/A (Multi-file image sequence directory),429290163,Domain 4: Sensor / Illumination,sensor_domain,hue_controlled,zebra_L9_G48,hue_controlled,sensor_image_sequence,HUE_Controlled Sensor Dataset,1280,720,30/1,30.0,False,rgb24,8,5.47,sdr_srgb,False,False,,not_applicable,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,Research Dataset License,Event Camera Research Terms,Research evaluation only,Raw image sequence sensor condition; see converted MP4 videos in Domain 4,resource_videos/HUE_Controlled/zebra_L9_G48
